Kind,Name,Cyclomatic,CountLineCode,Essential
File,"VintageTestEngineExecutionTests.java",,414,
File,"VintageTestEngineTestSuite.java",,12,
File,"VintageUniqueIdBuilder.java",,40,
File,"WrongExtendWithForVerifierFieldTests.java",,26,
File,"WrongExtendWithForVerifierMethodTests.java",,29,
File,"XmlReportAssertions.java",,29,
File,"XmlReportData.java",,109,
File,"XmlReportDataTests.java",,45,
File,"XmlReportWriter.java",,240,
File,"XmlReportWriterTests.java",,111,
File,"XmlReportsWritingListener.java",,86,
File,"XmlReportsWritingListenerTests.java",,317,
File,"apache-license-2.0.java",,0,
File,"checkstyleMain.xml",0,31,0
File,"checkstyleTest.xml",0,18,0
File,"eclipse-public-license-2.0.java",,0,
Package,"example",,799,
