Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,NoopTestExecutionListener.java,0,0,,,,,0,,4
File,NullIntegerParameterResolver.java,2,1,,,,,2,,15
File,NumberParameterResolver.java,2,1,,,,,2,,14
File,NumberResolver.java,4,2,,,,,2,,26
File,NumberTestGroup.java,4,1,,,,,4,,38
File,OneTest.java,1,1,,,,,1,,7
File,OrFilter.java,4,1,,,,,3,,20
File,OrFilterTests.java,5,1,,,,,4,,51
File,OverloadedTestMethodTests.java,16,1,,,,,4,,61
File,PackageNameFilter.java,4,1,,,,,4,,20
File,PackageNameFilterTests.java,10,1,,,,,4,,93
File,PackageNameSelectorResolver.java,3,1,,,,,2,,21
File,PackagePrivateParent.java,4,1,,,,,4,,23
File,PackageSelector.java,3,1,,,,,3,,19
File,PackageSource.java,10,1,,,,,8,,47
File,PackageUtils.java,7,1,,,,,4,,55
File,PackageUtilsTests.java,28,1,,,,,13,,90
File,ParameterContext.java,1,1,,,,,4,,15
File,ParameterResolutionException.java,2,1,,,,,2,,14
File,ParameterResolver.java,0,0,,,,,2,,11
File,ParameterResolverTests.java,42,1,,,,,40,,315
File,ParameterizedTest.java,0,0,,,,,1,,19
File,ParameterizedTestCase.java,2,1,,,,,2,,21
File,ParameterizedTestDemo.java,27,1,,,,,25,,167
File,ParameterizedTestExtension.java,16,1,,,,,6,,67
File,ParameterizedTestExtensionTests.java,27,1,,,,,23,,151
File,ParameterizedTestIntegrationTests.java,34,1,,,,,33,,260
File,ParameterizedTestInvocationContext.java,3,1,,,,,3,,21
File,ParameterizedTestNameFormatter.java,8,1,,,,,5,,43
File,ParameterizedTestNameFormatterTests.java,7,1,,,,,6,,56
File,ParameterizedTestParameterResolver.java,6,1,,,,,3,,45
File,ParameterizedTestSuite.java,0,0,,,,,0,,12
File,PlainJUnit3TestCaseWithSingleTestWhichFails.java,1,1,,,,,1,,8
